0,1,2,3,4,5,6,7,8,JV_default_PCE
-0.036112994,0.0068474407,0.01772778,-0.0013077068,4.0,3.9258602,1.5994378,52.14359,0.0647163,13.095029
-0.035935067,0.0066006556,0.01736946,-0.0013516325,4.0,4.0060472,1.5996281,99.894966,0.09390368,11.206172
-0.035771877,0.0070272447,0.016839646,-0.001738208,0.3979019,3.3496735,1.5967411,49.860252,0.11622006,11.018196
-0.036047287,0.0066371397,0.017448572,-0.0013292636,4.0,3.507145,1.5996714,99.11937,0.09130494,13.475342
-0.03597313,0.0066085113,0.01731288,-0.0013694656,4.0,2.842883,1.5997946,99.85993,0.09278097,13.108077
-0.036078285,0.0067174886,0.017426101,-0.001394562,4.0,3.808925,1.5991075,99.78315,0.05867717,17.703827
-0.035945732,0.0064983414,0.01735904,-0.0012062215,4.0,3.456652,1.546599,99.46127,0.11083901,14.141897
-0.035964835,0.0066262977,0.01741867,-0.001359131,-0.0021955196,3.0249863,1.5993407,99.29513,0.08147819,16.536356
-0.035934716,0.0066460357,0.017238803,-0.0014281337,3.6891963,3.7359312,1.5988116,99.70964,0.07088846,10.815868
-0.035946608,0.0066244155,0.017433355,-0.0013361162,3.7078805,3.7547588,1.5986141,98.95654,0.057504505,12.235382
-0.035834394,0.006739055,0.017069023,-0.0014209582,0.38142648,3.2815316,1.5954518,151.66351,0.08931006,19.085476
-0.03605151,0.0066192634,0.017383534,-0.0013518983,4.0,3.5571506,1.5996629,99.77269,0.07156216,13.457011
-0.03590646,0.00657892,0.01741752,-0.001383557,0.006069374,3.1768925,1.5579731,99.136246,0.060271077,10.60805
0.01633386,0.017644549,0.0008257641,-0.0052614734,0.6089049,3.7754357,1.5970705,100.48687,0.17447157,17.161287
-0.036475398,0.006914415,0.017379042,-0.0019942713,0.5891788,2.9843254,1.5927336,110.15407,0.053861238,17.796099
-0.036001123,0.006765602,0.01733645,-0.0015227295,0.7330234,3.8613973,1.5994246,100.29097,0.13658206,14.314135
-0.036056004,0.006645168,0.017447375,-0.0013243784,4.0,3.9496937,1.5995281,98.81171,0.07001451,11.053116
0.015145299,0.016418956,-0.00015311046,-0.0060619866,0.6198277,3.7843823,1.5840682,108.74252,0.15004422,18.285616
-0.03601735,0.006669582,0.017393926,-0.0014012516,4.0,2.9257793,1.5997944,98.509705,0.03676166,20.522234
-0.035947032,0.006599002,0.017435111,-0.0013462983,0.7666586,3.1529317,1.5993927,99.30687,0.04416477,12.84195
-0.036272008,0.0067318613,0.017566903,-0.00151515,0.94803405,3.057032,1.6017983,64.525276,0.07582764,16.241966
-0.036162835,0.006719627,0.01738562,-0.0015014117,0.9611869,3.7915783,1.5992954,99.74881,0.10382603,17.995363
-0.036031913,0.006685061,0.017441923,-0.0013507662,3.708669,3.3778849,1.5985389,99.10678,0.029522685,18.729862
-0.035954908,0.0066217263,0.017472511,-0.001322386,3.8097234,3.8814776,1.5992573,99.30587,0.04236537,17.174532
-0.035950247,0.0066205086,0.017601013,-0.0012993349,0.96133596,2.4897034,1.5992677,100.6615,0.09192608,14.673606
-0.035715226,0.0066998624,0.017034173,-0.0013527557,3.750231,3.2721176,1.5987422,8.747506,0.07084913,11.475661
-0.0359315,0.0066734725,0.017107595,-0.001720456,0.57117534,2.7436182,1.5975653,117.071045,0.124708936,20.67318
-0.03597216,0.0065913503,0.017466309,-0.0013550569,4.0,3.080226,1.600046,99.296455,0.0893842,15.760203
-0.03612925,0.0066789733,0.017461931,-0.0014659981,0.4880653,3.4501715,1.5875639,98.53423,0.10589267,15.479222
-0.035898693,0.006668253,0.017399788,-0.0013746548,0.0061794803,2.9191618,1.6000808,100.22307,0.07018854,10.176593
-0.03601108,0.0065844906,0.017176013,-0.001334365,4.0,3.6120205,1.5443401,105.628494,0.055661716,11.882963
-0.03611521,0.0066996245,0.017440083,-0.0014964632,0.34761304,3.2359753,1.5750313,98.82507,0.10041961,18.362343
